Date,Song,Artist,Rank,Peak Position,Weeks in Charts,Week
2023-01-04,All I Want For Christmas Is You,Mariah Carey,1,1,58,1
2023-01-04,Rockin' Around The Christmas Tree,Brenda Lee,2,2,52,1
2023-01-04,Jingle Bell Rock,Bobby Helms,3,3,49,1
2023-01-04,Last Christmas,Wham!,4,4,31,1
2023-01-04,A Holly Jolly Christmas,Burl Ives,5,4,32,1
2023-01-04,It's The Most Wonderful Time Of The Year,Andy Williams,6,5,33,1
2023-01-04,Feliz Navidad,Jose Feliciano,7,6,26,1
2023-01-04,Anti-Hero,Taylor Swift,8,1,10,1
2023-01-04,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",9,9,38,1
2023-01-04,Unholy,Sam Smith & Kim Petras,10,1,14,1
2023-01-04,Kill Bill,SZA,11,3,3,1
2023-01-04,Santa Tell Me,Ariana Grande,12,12,18,1
2023-01-04,Sleigh Ride,The Ronettes,13,10,22,1
2023-01-04,Underneath The Tree,Kelly Clarkson,14,12,21,1
2023-01-04,Christmas (Baby Please Come Home),Darlene Love,15,15,17,1
2023-01-04,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,16,12,30,1
2023-01-04,Deck The Halls,Nat King Cole,17,16,8,1
2023-01-04,Let It Snow; Let It Snow; Let It Snow!,Dean Martin,18,8,25,1
2023-01-04,I'm Good (Blue),David Guetta & Bebe Rexha,19,7,18,1
2023-01-04,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,20,20,9,1
2023-01-04,Rich Flex,Drake & 21 Savage,21,2,8,1
2023-01-04,Creepin',Metro Boomin| The Weeknd & 21 Savage,22,5,4,1
2023-01-04,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,23,12,18,1
2023-01-04,Blue Christmas,Elvis Presley,24,24,8,1
2023-01-04,It's Beginning To Look A Lot Like Christmas,Michael Buble,25,20,15,1
2023-01-04,Die For You,The Weeknd & Ariana Grande,26,12,22,1
2023-01-04,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,27,25,15,1
2023-01-04,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,28,16,22,1
2023-01-04,Little Saint Nick,The Beach Boys,29,29,4,1
2023-01-04,Bad Habit,Steve Lacy,30,1,26,1
2023-01-04,As It Was,Harry Styles,31,1,39,1
2023-01-04,Run Rudolph Run,Chuck Berry,32,10,17,1
2023-01-04,Wonderful Christmastime,Paul McCartney,33,28,8,1
2023-01-04,Santa Claus Is Comin' To Town,Jackson 5,34,33,6,1
2023-01-04,You're A Mean One; Mr. Grinch,Thurl Ravenscroft,35,31,7,1
2023-01-04,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,36,35,5,1
2023-01-04,This Christmas,Donny Hathaway,37,37,3,1
2023-01-04,Cuff It,Beyonce,38,13,20,1
2023-01-04,Under The Influence,Chris Brown,39,14,16,1
2023-01-04,Happy Holiday / The Holiday Season,Andy Williams,40,18,15,1
2023-01-04,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,41,13,-,1
2023-01-04,Something In The Orange,Zach Bryan,42,12,36,1
2023-01-04,Please Come Home For Christmas,Eagles,43,18,12,1
2023-01-04,Merry Christmas,Ed Sheeran & Elton John,44,42,6,1
2023-01-04,Made You Look,Meghan Trainor,45,24,10,1
2023-01-04,You Proof,Morgan Wallen,46,5,33,1
2023-01-04,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,47,38,4,1
2023-01-04,Have Yourself A Merry Little Christmas,Michael Buble,48,3,-,1
2023-01-04,Golden Hour,JVKE,49,35,18,1
2023-01-04,Christmastime Is Here,Vince Guaraldi Trio,50,3,-,1
2023-01-04,Super Freaky Girl,Nicki Minaj,51,1,20,1
2023-01-04,Shirt,SZA,52,11,9,1
2023-01-04,Just Wanna Rock,Lil Uzi Vert,53,21,11,1
2023-01-04,Tomorrow 2,GloRilla & Cardi B,54,9,14,1
2023-01-04,Superhero (Heroes & Villains),Metro Boomin| Future & Chris Brown,55,8,4,1
2023-01-04,Thank God,Kane Brown With Katelyn Brown,56,22,16,1
2023-01-04,Lift Me Up,Rihanna,57,2,9,1
2023-01-04,Until I Found You,Stephen Sanchez,58,38,26,1
2023-01-04,Nobody Gets Me,SZA,59,10,3,1
2023-01-04,Someday At Christmas,Lizzo,60,59,5,1
2023-01-04,Rock And A Hard Place,Bailey Zimmerman,61,24,29,1
2023-01-04,Gato de Noche,Nengo Flow & Bad Bunny,62,1,-,1
2023-01-04,Victoria's Secret,Jax,63,35,22,1
2023-01-04,Lavender Haze,Taylor Swift,64,2,10,1
2023-01-04,Low,SZA,65,17,3,1
2023-01-04,Son Of A Sinner,Jelly Roll,66,31,26,1
2023-01-04,Blind,SZA,67,12,3,1
2023-01-04,What My World Spins Around,Jordan Davis,68,41,20,1
2023-01-04,Wait In The Truck,HARDY Featuring Lainey Wilson,69,51,17,1
2023-01-04,Going; Going; Gone,Luke Combs,70,70,7,1
2023-01-04,Heart Like A Truck,Lainey Wilson,71,71,7,1
2023-01-04,Last Christmas,Lauren Spencer Smith,72,72,5,1
2023-01-04,Blue Christmas,Kane Brown,73,73,4,1
2023-01-04,Snooze,SZA,74,29,3,1
2023-01-04,Escapism,RAYE Featuring 070 Shake,75,72,4,1
2023-01-04,Santa; Can't You Hear Me,Kelly Clarkson & Ariana Grande,76,76,4,1
2023-01-04,Love Language,SZA,77,21,3,1
2023-01-04,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,78,32,14,1
2023-01-04,Calm Down,Rema & Selena Gomez,79,74,17,1
2023-01-04,Whiskey On You,Nate Smith,80,44,28,1
2023-01-04,Seek & Destroy,SZA,81,24,3,1
2023-01-04,Hold Me Closer,Elton John & Britney Spears,82,6,18,1
2023-01-04,Que Vuelvas,Carin Leon X Grupo Frontera,83,1,-,1
2023-01-04,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,84,22,4,1
2023-01-04,Spin Bout U,Drake & 21 Savage,85,5,8,1
2023-01-04,Used,SZA Featuring Don Toliver,86,30,3,1
2023-01-04,Romantic Homicide,d4vd,87,33,17,1
2023-01-04,Circo Loco,Drake & 21 Savage,88,8,8,1
2023-01-04,Ghost In The Machine,SZA Featuring Phoebe Bridgers,89,40,3,1
2023-01-04,Down Home,Jimmie Allen,90,88,6,1
2023-01-04,Bebe Dame,Fuerza Regida X Grupo Frontera,91,1,-,1
2023-01-04,Special,SZA,92,37,3,1
2023-01-04,No Se Va,Grupo Frontera,93,12,-,1
2023-01-04,Kid On Christmas,Pentatonix Featuring Meghan Trainor,94,93,2,1
2023-01-04,One Thing At A Time,Morgan Wallen,95,37,4,1
2023-01-04,Pick Me Up,Gabby Barrett,96,19,-,1
2023-01-04,SOS,SZA,97,32,3,1
2023-01-04,Forget Me,Lewis Capaldi,98,7,-,1
2023-01-04,La Jumpa,Arcangel & Bad Bunny,99,2,-,1
2023-01-04,Gone Girl,SZA,100,43,3,1
2023-01-11,Anti-Hero,Taylor Swift,1,1,11,2
2023-01-11,Unholy,Sam Smith & Kim Petras,2,1,15,2
2023-01-11,Kill Bill,SZA,3,3,4,2
2023-01-11,I'm Good (Blue),David Guetta & Bebe Rexha,4,4,19,2
