track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,release_date
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",553,147,141381703,125,B,Major,80,89,83,31,0,8,4,Not Found,2023-07-14
LALA,Myke Towers,1474,48,133716286,92,C#,Major,71,61,74,7,0,10,4,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,2023-03-23
vampire,Olivia Rodrigo,1397,113,140003974,138,F,Major,51,32,53,17,0,31,6,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,2023-06-30
Cruel Summer,Taylor Swift,7858,100,800840817,170,A,Major,55,58,72,11,0,11,15,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-08-23
WHERE SHE GOES,Bad Bunny,3133,50,303236322,144,A,Minor,65,23,80,14,63,11,6,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,2023-05-18
Sprinter,"Dave, Central Cee",2186,91,183706234,141,C#,Major,92,66,58,19,0,8,24,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,2023-06-01
Ella Baila Sola,"Eslabon Armado, Peso Pluma",3090,50,725980112,148,F,Minor,67,83,76,48,0,8,3,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,2023-03-16
Columbia,Quevedo,714,43,58149378,100,F,Major,67,26,71,37,0,11,4,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,2023-07-07
fukumean,Gunna,1096,83,95217315,130,C#,Minor,85,22,62,12,0,28,9,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,2023-05-15
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2953,44,553634067,170,D,Minor,81,56,48,21,0,8,33,Not Found,2023-03-17
un x100to,"Bad Bunny, Grupo Frontera",2876,40,505671438,83,F#,Minor,57,56,72,23,0,27,5,Not Found,2023-04-17
Super Shy,NewJeans,422,55,58255150,150,F,Minor,78,52,82,18,0,15,7,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
